Comunidades y Ciudades Autónomas de destino;País de residencia;Periodo;Total
Andalucía;Bélgica;2019T3;381,86
Andalucía;Bélgica;2019T2;381,29
Andalucía;Bélgica;2019T1;450,85
Andalucía;Bélgica;2018T4;411,29
Andalucía;Bélgica;2018T3;364,13
Andalucía;Bélgica;2018T2;353,18
Andalucía;Bélgica;2018T1;425,73
Andalucía;Dinamarca;2025T2;480,33
Andalucía;Dinamarca;2025T1;520,79
Andalucía;Dinamarca;2024T4;463,19
Andalucía;Dinamarca;2024T3;470,04
Andalucía;Dinamarca;2024T2;438,85
Andalucía;Dinamarca;2024T1;510,28
Andalucía;Dinamarca;2023T4;436,06
Andalucía;Dinamarca;2023T3;439,21
Andalucía;Dinamarca;2023T2;437,84
Andalucía;Dinamarca;2023T1;425,66
Andalucía;Dinamarca;2022T4;410,42
Andalucía;Dinamarca;2022T3;437,50
Andalucía;Dinamarca;2022T2;420,31
Andalucía;Dinamarca;2022T1;465,34
Andalucía;Dinamarca;2021T4;420,35
Andalucía;Dinamarca;2021T3;403,86
Andalucía;Dinamarca;2021T2;355,50
Andalucía;Dinamarca;2021T1;353,62
Andalucía;Dinamarca;2020T4;313,17
Andalucía;Dinamarca;2020T3;326,02
Andalucía;Dinamarca;2020T2;.
Andalucía;Dinamarca;2020T1;334,31
Andalucía;Dinamarca;2019T4;313,29
Andalucía;Dinamarca;2019T3;312,22
Andalucía;Dinamarca;2019T2;301,19
Andalucía;Dinamarca;2019T1;354,05
Andalucía;Dinamarca;2018T4;310,77
Andalucía;Dinamarca;2018T3;294,12
Andalucía;Dinamarca;2018T2;267,59
Andalucía;Dinamarca;2018T1;333,12
Andalucía;Finlandia;2025T2;345,01
Andalucía;Finlandia;2025T1;422,68
Andalucía;Finlandia;2024T4;374,50
Andalucía;Finlandia;2024T3;333,16
Andalucía;Finlandia;2024T2;318,97
Andalucía;Finlandia;2024T1;396,82
Andalucía;Finlandia;2023T4;355,97
Andalucía;Finlandia;2023T3;323,32
Andalucía;Finlandia;2023T2;324,78
Andalucía;Finlandia;2023T1;353,80
Andalucía;Finlandia;2022T4;345,19
Andalucía;Finlandia;2022T3;314,54
Andalucía;Finlandia;2022T2;300,60
Andalucía;Finlandia;2022T1;365,49
Andalucía;Finlandia;2021T4;344,93
Andalucía;Finlandia;2021T3;289,36
Andalucía;Finlandia;2021T2;280,30
Andalucía;Finlandia;2021T1;278,23
Andalucía;Finlandia;2020T4;264,63
Andalucía;Finlandia;2020T3;245,74
Andalucía;Finlandia;2020T2;.
Andalucía;Finlandia;2020T1;302,62
Andalucía;Finlandia;2019T4;277,96
Andalucía;Finlandia;2019T3;244,70
Andalucía;Finlandia;2019T2;246,74
Andalucía;Finlandia;2019T1;327,75
Andalucía;Finlandia;2018T4;285,72
Andalucía;Finlandia;2018T3;245,37
Andalucía;Finlandia;2018T2;233,37
Andalucía;Finlandia;2018T1;313,84
Andalucía;Francia;2025T2;408,74
Andalucía;Francia;2025T1;478,98
Andalucía;Francia;2024T4;435,48
Andalucía;Francia;2024T3;449,94
Andalucía;Francia;2024T2;398,37
Andalucía;Francia;2024T1;464,08
Andalucía;Francia;2023T4;421,21
Andalucía;Francia;2023T3;416,57
Andalucía;Francia;2023T2;397,56
Andalucía;Francia;2023T1;410,89
Andalucía;Francia;2022T4;404,40
Andalucía;Francia;2022T3;414,42
Andalucía;Francia;2022T2;356,57
Andalucía;Francia;2022T1;401,93
Andalucía;Francia;2021T4;385,95
Andalucía;Francia;2021T3;358,35
Andalucía;Francia;2021T2;289,44
Andalucía;Francia;2021T1;314,67
Andalucía;Francia;2020T4;285,56
Andalucía;Francia;2020T3;287,13
Andalucía;Francia;2020T2;.
Andalucía;Francia;2020T1;323,20
Andalucía;Francia;2019T4;295,38
Andalucía;Francia;2019T3;299,50
Andalucía;Francia;2019T2;275,87
Andalucía;Francia;2019T1;339,81
Andalucía;Francia;2018T4;311,78
Andalucía;Francia;2018T3;288,36
Andalucía;Francia;2018T2;251,98
Andalucía;Francia;2018T1;324,32
Andalucía;Irlanda;2025T2;445,25
Andalucía;Irlanda;2025T1;494,60
Andalucía;Irlanda;2024T4;451,30
Andalucía;Irlanda;2024T3;443,65
Andalucía;Irlanda;2024T2;423,57
Andalucía;Irlanda;2024T1;508,46
Andalucía;Irlanda;2023T4;433,31
Andalucía;Irlanda;2023T3;411,49
Andalucía;Irlanda;2023T2;426,66
Andalucía;Irlanda;2023T1;424,55
Andalucía;Irlanda;2022T4;416,28
Andalucía;Irlanda;2022T3;403,80
Andalucía;Irlanda;2022T2;403,31
Andalucía;Irlanda;2022T1;449,91
Andalucía;Irlanda;2021T4;433,96
Andalucía;Irlanda;2021T3;389,34
Andalucía;Irlanda;2021T2;282,40
Andalucía;Irlanda;2021T1;323,41
Andalucía;Irlanda;2020T4;315,33
Andalucía;Irlanda;2020T3;307,51
Andalucía;Irlanda;2020T2;.
Andalucía;Irlanda;2020T1;411,31
Andalucía;Irlanda;2019T4;396,59
Andalucía;Irlanda;2019T3;426,95
Andalucía;Irlanda;2019T2;427,55
Andalucía;Irlanda;2019T1;488,34
Andalucía;Irlanda;2018T4;460,03
Andalucía;Irlanda;2018T3;462,91
Andalucía;Irlanda;2018T2;430,51
Andalucía;Irlanda;2018T1;508,54
Andalucía;Italia;2025T2;304,54
Andalucía;Italia;2025T1;325,85
Andalucía;Italia;2024T4;298,96
Andalucía;Italia;2024T3;314,74
Andalucía;Italia;2024T2;305,55
Andalucía;Italia;2024T1;335,15
Andalucía;Italia;2023T4;295,75
Andalucía;Italia;2023T3;305,28
Andalucía;Italia;2023T2;304,86
Andalucía;Italia;2023T1;296,19
Andalucía;Italia;2022T4;283,64
Andalucía;Italia;2022T3;311,74
Andalucía;Italia;2022T2;272,82
Andalucía;Italia;2022T1;303,58
Andalucía;Italia;2021T4;283,56
Andalucía;Italia;2021T3;279,35
Andalucía;Italia;2021T2;207,54
Andalucía;Italia;2021T1;248,69
Andalucía;Italia;2020T4;254,11
Andalucía;Italia;2020T3;272,61
Andalucía;Italia;2020T2;.
Andalucía;Italia;2020T1;294,70
Andalucía;Italia;2019T4;272,45
Andalucía;Italia;2019T3;297,69
Andalucía;Italia;2019T2;287,05
Andalucía;Italia;2019T1;334,94
Andalucía;Italia;2018T4;320,30
Andalucía;Italia;2018T3;312,36
Andalucía;Italia;2018T2;285,58
Andalucía;Italia;2018T1;344,31
Andalucía;Noruega;2025T2;494,44
Andalucía;Noruega;2025T1;534,04
Andalucía;Noruega;2024T4;476,62
Andalucía;Noruega;2024T3;486,43
Andalucía;Noruega;2024T2;459,50
Andalucía;Noruega;2024T1;525,25
Andalucía;Noruega;2023T4;464,61
Andalucía;Noruega;2023T3;465,45
Andalucía;Noruega;2023T2;458,54
Andalucía;Noruega;2023T1;459,33
Andalucía;Noruega;2022T4;454,74
Andalucía;Noruega;2022T3;457,15
Andalucía;Noruega;2022T2;444,62
Andalucía;Noruega;2022T1;508,04
Andalucía;Noruega;2021T4;480,75
Andalucía;Noruega;2021T3;488,34
Andalucía;Noruega;2021T2;401,65
Andalucía;Noruega;2021T1;403,96
Andalucía;Noruega;2020T4;402,88
Andalucía;Noruega;2020T3;379,29
Andalucía;Noruega;2020T2;.
Andalucía;Noruega;2020T1;385,07
Andalucía;Noruega;2019T4;355,75
Andalucía;Noruega;2019T3;347,55
Andalucía;Noruega;2019T2;346,74
Andalucía;Noruega;2019T1;423,93
Andalucía;Noruega;2018T4;375,49
Andalucía;Noruega;2018T3;342,38
Andalucía;Noruega;2018T2;320,02
Andalucía;Noruega;2018T1;400,50
Andalucía;Países Bajos;2025T2;437,58
Andalucía;Países Bajos;2025T1;479,49
Andalucía;Países Bajos;2024T4;434,62
Andalucía;Países Bajos;2024T3;440,11
Andalucía;Países Bajos;2024T2;413,64
Andalucía;Países Bajos;2024T1;454,82
Andalucía;Países Bajos;2023T4;414,76
Andalucía;Países Bajos;2023T3;412,77
Andalucía;Países Bajos;2023T2;409,62
Andalucía;Países Bajos;2023T1;397,35
Andalucía;Países Bajos;2022T4;394,60
Andalucía;Países Bajos;2022T3;396,26
Andalucía;Países Bajos;2022T2;371,46
Andalucía;Países Bajos;2022T1;403,20
Andalucía;Países Bajos;2021T4;380,01
Andalucía;Países Bajos;2021T3;373,33
Andalucía;Países Bajos;2021T2;353,71
Andalucía;Países Bajos;2021T1;358,24
Andalucía;Países Bajos;2020T4;329,08
Andalucía;Países Bajos;2020T3;304,01
Andalucía;Países Bajos;2020T2;.
Andalucía;Países Bajos;2020T1;325,54
Andalucía;Países Bajos;2019T4;301,47
Andalucía;Países Bajos;2019T3;311,73
Andalucía;Países Bajos;2019T2;308,27
Andalucía;Países Bajos;2019T1;361,05
Andalucía;Países Bajos;2018T4;333,76
Andalucía;Países Bajos;2018T3;316,93
Andalucía;Países Bajos;2018T2;297,29
Andalucía;Países Bajos;2018T1;350,07
Andalucía;Polonia;2025T2;329,67
Andalucía;Polonia;2025T1;374,91
